,symbol,openValue,previousClose,diff,rank
168,JKCEMENT24MAYFUT,4062.55,3974.4,-0.022179448470209362,1.0
66,INDIGO24MAYFUT,4490.4,4407.55,-0.018797291012013353,2.0
77,HCLTECH24MAYFUT,1370.0,1355.9,-0.010398996976178116,3.0
120,CIPLA24MAYFUT,1504.7,1492.05,-0.008478268154552522,4.0
93,AARTIIND24MAYFUT,634.1,629.25,-0.0077075883988876005,5.0
